X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;X15
"Cancer: diagnosis and primary therapy; Stroke: long-term consequences, moderate";"Anxiety disorders: severe; Diabetic neuropathy";"Spinal cord lesion at neck level: treated; Dementia: moderate";"Cancer: diagnosis and primary therapy; Acute myocardial infarction: days 3-28";"Hearing loss: moderate; Asthma: controlled";"Amputation of finger(s), excluding thumb: long term, with treatment; Musculoskeletal problems, legs: mild";"Spinal cord lesion at neck level: treated; Anemia: moderate";"Major depressive disorder: moderate episode; Stroke: long-term consequences, moderate";"Stroke: long-term consequences, severe plus cognition problems; Angina pectoris: moderate";"Stroke: long-term consequences, severe plus cognition problems; Asthma: controlled";"Amputation of finger(s), excluding thumb: long term, with treatment; Diabetic neuropathy";"Distance vision: severe impairment; Anxiety disorders: moderate";"Parkinson's disease: moderate; Dementia: mild";"Diabetic neuropathy; Anxiety disorders: severe";"Parkinson's disease: moderate; Hearing loss: complete"
"Stroke: long-term consequences, severe plus cognition problems; Diabetic neuropathy";"Anxiety disorders: severe; Amputation of finger(s), excluding thumb: long term, with treatment";"Dementia: moderate; Parkinson's disease: moderate";"Dementia: moderate; Hearing loss: complete";"Decompensated cirrhosis of the liver; Anxiety disorders: moderate";"Stroke: long-term consequences, severe plus cognition problems; Amputation of finger(s), excluding thumb: long term, with treatment";"Spinal cord lesion at neck level: treated; Decompensated cirrhosis of the liver";"Cancer: diagnosis and primary therapy; Amputation of finger(s), excluding thumb: long term, with treatment";"Anemia: moderate; Asthma: partially controlled";"COPD and other chronic respiratory disease: severe; Angina pectoris: moderate";"Multiple sclerosis: severe; Hearing loss: complete";"Parkinson's disease: moderate; Dementia: mild";"Anxiety disorders: moderate; Musculoskeletal problems, legs: mild";"Amputation of finger(s), excluding thumb: long term, with treatment; Anxiety disorders: severe";"Amputation of finger(s), excluding thumb: long term, with treatment; COPD and other chronic respiratory disease: mild"
"Spinal cord lesion at neck level: treated; Cancer: diagnosis and primary therapy";"COPD and other chronic respiratory disease: severe; Parkinson's disease: moderate";"Anxiety disorders: severe; Musculoskeletal problems, legs: mild";"Multiple sclerosis: severe; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Distance vision: severe impairment; Anxiety disorders: moderate";"Stroke: long-term consequences, severe plus cognition problems; Anxiety disorders: severe";"Decompensated cirrhosis of the liver; Hearing loss: complete";"Diabetic neuropathy; Distance vision: moderate impairment";"Stroke: long-term consequences, moderate; Distance vision: moderate impairment";"Motor impairment: moderate; Diabetic neuropathy";"Stroke: long-term consequences, severe plus cognition problems; Amputation of finger(s), excluding thumb: long term, with treatment";"COPD and other chronic respiratory disease: severe; Anxiety disorders: moderate";"Distance vision: severe impairment; Stroke: long-term consequences, moderate";"Parkinson's disease: moderate; COPD and other chronic respiratory disease: severe";"Stroke: long-term consequences, moderate; Amputation of finger(s), excluding thumb: long term, with treatment"
"Anxiety disorders: severe; Distance vision: moderate impairment";"Dementia: moderate; Dementia: mild";"Dementia: moderate; Distance vision: severe impairment";"Decompensated cirrhosis of the liver; Diabetic neuropathy";"Multiple sclerosis: severe; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Multiple sclerosis: severe; Angina pectoris: moderate";"Stroke: long-term consequences, severe plus cognition problems; Angina pectoris: moderate";"COPD and other chronic respiratory disease: severe; Acute myocardial infarction: days 3-28";"Multiple sclerosis: severe; Asthma: controlled";"Stroke: long-term consequences, moderate; Diabetic neuropathy";"Major depressive disorder: moderate episode; Dementia: mild";"COPD and other chronic respiratory disease: severe; Musculoskeletal problems, legs: mild";"Multiple sclerosis: severe; Distance vision: severe impairment";"Dementia: mild; Dementia: moderate";"Anxiety disorders: moderate; Angina pectoris: moderate"
"Acute myocardial infarction: days 3-28; Musculoskeletal problems, legs: mild";"Anemia: moderate; Hearing loss: complete";"Major depressive disorder: moderate episode; Distance vision: moderate impairment";"Cancer: diagnosis and primary therapy; Anxiety disorders: moderate";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Hearing loss: complete";"Anxiety disorders: moderate; Anemia: moderate";"Spinal cord lesion at neck level: treated; Cancer: diagnosis and primary therapy";"Spinal cord lesion at neck level: treated; Hearing loss: complete";"Dementia: moderate; Acute myocardial infarction: days 3-28";"COPD and other chronic respiratory disease: severe; Decompensated cirrhosis of the liver";"COPD and other chronic respiratory disease: severe; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Stroke: long-term consequences, severe plus cognition problems; Hearing loss: complete";"Decompensated cirrhosis of the liver; Motor impairment: moderate";"Hearing loss: complete; Anemia: moderate";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Asthma: partially controlled"
"Distance vision: moderate impairment; Spinal cord lesion at neck level: treated";"Asthma: partially controlled; Dementia: mild";"Anxiety disorders: severe; COPD and other chronic respiratory disease: severe";"Asthma: partially controlled; Dementia: moderate";"Asthma: partially controlled; Parkinson's disease: moderate";"Anxiety disorders: moderate; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Anemia: moderate; Decompensated cirrhosis of the liver";"Angina pectoris: moderate; Decompensated cirrhosis of the liver";"Cancer: diagnosis and primary therapy; Distance vision: severe impairment";"Dementia: mild; Spinal cord lesion at neck level: treated";"Distance vision: moderate impairment; Acute myocardial infarction: days 3-28";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Decompensated cirrhosis of the liver";"Cancer: diagnosis and primary therapy; Multiple sclerosis: severe";"Dementia: mild; Asthma: partially controlled";"Hearing loss: moderate; Parkinson's disease: moderate"
"Hearing loss: moderate; Motor impairment: moderate";"Parkinson's disease: moderate; Multiple sclerosis: severe";"Anemia: moderate; Motor impairment: moderate";"Angina pectoris: moderate; COPD and other chronic respiratory disease: severe";"Anxiety disorders: moderate; Motor impairment: moderate";"Angina pectoris: moderate; Amputation of finger(s), excluding thumb: long term, with treatment";"COPD and other chronic respiratory disease: mild; Distance vision: severe impairment";"Angina pectoris: moderate; Anemia: moderate";"Amputation of finger(s), excluding thumb: long term, with treatment; Acute myocardial infarction: days 3-28";"Musculoskeletal problems, legs: mild; Dementia: mild";"Anxiety disorders: severe; Stroke: long-term consequences, severe plus cognition problems";"Distance vision: moderate impairment; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Dementia: mild; Anxiety disorders: severe";"Multiple sclerosis: severe; Parkinson's disease: moderate";"Asthma: partially controlled; COPD and other chronic respiratory disease: mild"
"Hearing loss: moderate; Anxiety disorders: moderate";"Diabetic neuropathy; Spinal cord lesion at neck level: treated";"Amputation of finger(s), excluding thumb: long term, with treatment; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"COPD and other chronic respiratory disease: mild; Distance vision: moderate impairment";"Diabetic neuropathy; Motor impairment: moderate";"Anemia: moderate; Distance vision: severe impairment";"Anemia: moderate; Decompensated cirrhosis of the liver";"Anxiety disorders: severe; Spinal cord lesion at neck level: treated";"Dementia: mild; Multiple sclerosis: severe";"Major depressive disorder: moderate episode; Stroke: long-term consequences, severe plus cognition problems";"Distance vision: moderate impairment; Anxiety disorders: severe";"Acute myocardial infarction: days 3-28; Spinal cord lesion at neck level: treated";"Hearing loss: moderate; Major depressive disorder: moderate episode";"Spinal cord lesion at neck level: treated; Diabetic neuropathy";"COPD and other chronic respiratory disease: severe; Stroke: long-term consequences, severe plus cognition problems"
"Anxiety disorders: severe; Anxiety disorders: moderate";"Anxiety disorders: severe; Diabetic neuropathy";"Spinal cord lesion at neck level: treated; Stroke: long-term consequences, moderate";"Anxiety disorders: moderate; Musculoskeletal problems, legs: mild";"Traumatic brain injury: long-term consequences, moderate, with or without treatment; Anemia: moderate";"Diabetic neuropathy; Hearing loss: complete";"Diabetic neuropathy; Hearing loss: moderate";"Anxiety disorders: severe; Angina pectoris: moderate";"Asthma: partially controlled; Hearing loss: moderate";"Amputation of finger(s), excluding thumb: long term, with treatment; Distance vision: moderate impairment";"Anxiety disorders: severe; Motor impairment: moderate";"Major depressive disorder: moderate episode; Hearing loss: complete";"Hearing loss: complete; Hearing loss: moderate";"Diabetic neuropathy; Anxiety disorders: severe";"Distance vision: severe impairment; Acute myocardial infarction: days 3-28"
"Decompensated cirrhosis of the liver; Diabetic neuropathy";"Spinal cord lesion at neck level: treated; Multiple sclerosis: severe";"Dementia: moderate; Decompensated cirrhosis of the liver";"Cancer: diagnosis and primary therapy; Anxiety disorders: moderate";"COPD and other chronic respiratory disease: severe; Hearing loss: moderate";"Spinal cord lesion at neck level: treated; Motor impairment: moderate";"Stroke: long-term consequences, severe plus cognition problems; Traumatic brain injury: long-term consequences, moderate, with or without treatment";"Stroke: long-term consequences, severe plus cognition problems; Parkinson's disease: moderate";"Decompensated cirrhosis of the liver; Hearing loss: complete";"Amputation of finger(s), excluding thumb: long term, with treatment; COPD and other chronic respiratory disease: mild";"Anemia: moderate; Hearing loss: complete";"Stroke: long-term consequences, severe plus cognition problems; Multiple sclerosis: severe";"Multiple sclerosis: severe; COPD and other chronic respiratory disease: severe";"Multiple sclerosis: severe; Spinal cord lesion at neck level: treated";"Decompensated cirrhosis of the liver; Musculoskeletal problems, legs: mild"
